Employee ID,Satisfaction Level,Age,Start Date,Years of Experience,Department,Salary,Promotions,Resigned
64759,0.563529923433192,43,1999-08-22 01:55:08.316693,23,Marketing,122734,1,0
22456,1.8682416147227938,39,1998-07-08 01:55:08.316704,1,Tech,56773,1,0
63401,4.476133846345743,20,2020-02-11 01:55:08.316707,0,HR,87803,0,0
72903,4.09927174171982,21,2019-12-28 01:55:08.316709,2,Sales,74793,0,0
76338,3.605044105179383,50,1998-10-20 01:55:08.316711,10,Operations,129254,1,0
11966,0.5098360188641937,28,1999-10-07 01:55:08.316713,3,Tech,84975,0,0
70433,3.1059728310293333,37,2012-12-29 01:55:08.316715,18,Finance,111674,0,1
18341,2.909257008309902,49,2017-06-22 01:55:08.316717,27,Tech,102949,0,1
50681,0.8358353053428147,65,2000-04-20 01:55:08.316720,27,Finance,68990,0,0
16606,3.869293948669681,32,2009-03-01 01:55:08.316722,8,Sales,82337,0,0
33822,1.5598849246437363,42,2002-04-06 01:55:08.316724,5,HR,84030,0,0
54743,3.1031286148902533,34,2019-01-02 01:55:08.316726,13,Tech,115544,2,0
84337,1.8091774290319673,39,2021-04-18 01:55:08.316727,6,Sales,100948,1,0
82564,0.421976065524603,51,1997-01-29 01:55:08.316729,31,Sales,61134,0,0
71567,2.623974462319608,50,1999-09-03 01:55:08.316731,23,Tech,86119,0,0
97173,1.533215677778275,42,2002-02-20 01:55:08.316733,0,Marketing,45603,1,0
39660,0.3565650167379486,31,2004-03-10 01:55:08.316735,12,Finance,114028,1,0
30475,0.9925445804629696,63,2008-11-01 01:55:08.316737,21,Marketing,122069,0,0
57942,3.09427884595456,47,1997-11-15 01:55:08.316738,0,Finance,74151,1,0
96434,0.5069099969203084,39,2012-01-23 01:55:08.316740,15,Tech,54292,0,0
92391,0.43733170526059906,39,2006-03-12 01:55:08.316742,11,Finance,120413,1,1
28093,4.720107845154255,36,2020-02-24 01:55:08.316744,0,HR,79445,2,0
44534,0.5376168956070743,55,2014-06-26 01:55:08.316745,32,Finance,73502,0,0
34954,1.8802986415477867,21,2018-10-15 01:55:08.316747,1,HR,77842,0,1
20365,0.6670544524174365,25,2004-03-13 01:55:08.316749,3,Marketing,88121,0,1
50549,4.69634546121125,62,2013-11-29 01:55:08.316752,5,Tech,124556,1,0
21746,2.4058069975172156,56,2017-09-14 01:55:08.316753,30,Sales,65349,0,0
84184,0.5555962105688506,27,2005-01-29 01:55:08.316755,8,Sales,56205,1,0
36135,3.844082212128204,45,2021-08-29 01:55:08.316757,19,Operations,124025,1,0
71093,3.9039329385346955,38,1999-03-13 01:55:08.316759,15,Tech,86789,0,0
82480,4.5059973167086245,18,2007-09-06 01:55:08.316761,0,Marketing,77388,0,0
24664,3.5282769345433667,54,2021-07-07 01:55:08.316762,32,Sales,100448,0,0
23943,0.2735813692052913,51,1997-10-04 01:55:08.316764,10,Tech,88556,0,0
15711,2.7515577355149072,28,2012-08-21 01:55:08.316766,1,Marketing,74155,0,0
92139,1.9201992936685546,33,2005-11-17 01:55:08.316768,4,Tech,95854,1,0
37753,3.7429052514668304,56,2017-02-15 01:55:08.316770,36,Finance,74238,0,1
14199,2.9546450425290818,31,1999-12-10 01:55:08.316772,11,Sales,85114,0,0
66910,3.6260026039611226,18,2018-06-03 01:55:08.316773,0,Finance,92764,0,0
48001,0.9022195893654489,48,2002-10-30 01:55:08.316775,5,Finance,112112,2,0
33561,2.1853549696722663,61,1999-12-02 01:55:08.316777,0,Sales,64262,1,1
34724,2.1605216349125795,60,2018-07-16 01:55:08.316779,36,Sales,145771,0,0
